# Data taken from Figs. 10.1 and 10.3 of 40 years of evolution: Darwin's finches on Daphne Major Island by Grant and Grant. Accessed from the Dryad repository, http://dx.doi.org/10.5061/dryad.g6g3h, and munged into this CSV file.
band,species,beak length (mm),beak depth (mm),year
20123,fortis,9.25,8.05,1973
20126,fortis,11.35,10.45,1973
20128,fortis,10.15,9.55,1973
20129,fortis,9.95,8.75,1973
20133,fortis,11.55,10.15,1973
20136,fortis,11.15,9.85,1973
20138,fortis,10.05,8.85,1973
20142,fortis,11.25,10.15,1973
20143,fortis,9.15,8.15,1973
20146,fortis,9.25,8.55,1973
20149,fortis,11.75,10.65,1973
20150,fortis,9.05,8.05,1973
20152,fortis,11.15,9.75,1973
20155,fortis,11.25,10.15,1973
20156,fortis,10.45,9.85,1973
20157,fortis,10.65,9.75,1973
20163,fortis,10.05,8.35,1973
20164,fortis,10.45,8.55,1973
20169,fortis,11.45,10.25,1973
20172,fortis,11.15,9.35,1973
20174,fortis,10.95,10.15,1973
20176,fortis,9.55,8.55,1973
20177,fortis,10.65,8.85,1973
20178,fortis,10.05,9.85,1973
20181,fortis,11.25,10.75,1973
20183,fortis,10.85,9.85,1973
20203,fortis,10.05,8.45,1973
20206,fortis,11.95,10.55,1973
20211,fortis,9.85,8.35,1973
20215,fortis,9.35,8.25,1973
20217,fortis,12.05,10.95,1973
20218,fortis,10.35,9.15,1973
20219,fortis,10.65,8.85,1973
20221,fortis,10.95,10.05,1973
20229,fortis,10.25,9.55,1973
20230,fortis,12.65,12.15,1973
20233,fortis,10.65,9.55,1973
20235,fortis,10.75,9.75,1973
20239,fortis,10.15,9.25,1973
20243,fortis,10.25,9.05,1973
20244,fortis,10.35,8.45,1973
20246,fortis,10.55,9.55,1973
20247,fortis,10.95,9.95,1973
20249,fortis,11.65,10.65,1973
20250,fortis,9.85,7.95,1973
20253,fortis,11.15,10.65,1973
20256,fortis,10.05,9.15,1973
20258,fortis,11.15,10.05,1973
20263,fortis,10.95,9.75,1973
20268,fortis,11.05,10.05,1973
20269,fortis,10.65,9.65,1973
20271,fortis,10.85,9.45,1973
20272,fortis,11.05,10.75,1973
20275,fortis,11.05,9.85,1973
20276,fortis,11.55,11.15,1973
20277,fortis,11.25,10.85,1973
20278,fortis,10.25,8.55,1973
20282,fortis,11.05,10.25,1973
20292,fortis,9.95,8.35,1973
20296,fortis,10.65,9.15,1973
20299,fortis,9.95,9.35,1973
20301,fortis,11.05,10.15,1973
20302,fortis,10.75,9.75,1973
20306,fortis,11.75,10.75,1973
20307,fortis,10.25,9.35,1973
20308,fortis,9.45,8.65,1973
20309,fortis,11.85,10.35,1973
20310,fortis,10.95,10.55,1973
20313,fortis,10.35,9.45,1973
20317,fortis,10.15,8.85,1973
20318,fortis,10.45,9.45,1973
20320,fortis,11.35,9.85,1973
20324,fortis,9.85,9.15,1973
20121,scandens,15.15,9.35,1973
20125,scandens,15.05,9.75,1973
20135,scandens,14.45,8.35,1973
20159,scandens,14.05,9.55,1973
20160,scandens,14.25,8.55,1973
20175,scandens,14.65,9.85,1973
20182,scandens,15.45,10.65,1973
20187,scandens,15.15,9.55,1973
20200,scandens,14.95,9.85,1973
20207,scandens,13.65,9.75,1973
20220,scandens,14.65,7.95,1973
20224,scandens,15.65,9.95,1973
20245,scandens,14.05,9.55,1973
20254,scandens,13.85,9.15,1973
20259,scandens,14.95,10.45,1973
20274,scandens,13.15,9.15,1973
2,fortis,9.4,8.0,1975
9,fortis,9.2,8.3,1975
12,fortis,9.5,7.5,1975
15,fortis,9.5,8.0,1975
305,fortis,11.5,9.9,1975
307,fortis,11.1,8.6,1975
308,fortis,9.9,8.4,1975
309,fortis,11.5,9.8,1975
311,fortis,10.8,9.2,1975
312,fortis,11.3,9.0,1975
313,fortis,11.5,9.5,1975
314,fortis,11.5,8.9,1975
315,fortis,9.7,8.8,1975
316,fortis,10.9,9.7,1975
316,fortis,10.9,9.85,1975
320,fortis,10.1,8.9,1975
321,fortis,10.6,8.5,1975
323,fortis,9.6,8.2,1975
324,fortis,10.3,9.3,1975
326,fortis,10.5,9.1,1975
328,fortis,10.5,8.8,1975
329,fortis,10.9,9.4,1975
330,fortis,11.2,9.6,1975
340,fortis,9.4,8.5,1975
341,fortis,10.1,8.1,1975
342,fortis,9.6,8.0,1975
343,fortis,10.5,9.7,1975
344,fortis,9.9,8.2,1975
345,fortis,9.9,8.4,1975
346,fortis,9.6,7.9,1975
347,fortis,10.7,9.3,1975
348,fortis,11.8,10.5,1975
349,fortis,10.2,9.7,1975
350,fortis,10.9,9.6,1975
352,fortis,9.3,7.7,1975
354,fortis,11.6,9.8,1975
355,fortis,11.2,9.8,1975
356,fortis,10.1,8.5,1975
360,fortis,10.7,9.2,1975
366,fortis,11.0,10.1,1975
368,fortis,10.8,9.0,1975
369,fortis,10.2,9.0,1975
401,fortis,10.8,9.4,1975
402,fortis,10.4,8.8,1975
403,fortis,11.2,9.9,1975
405,fortis,11.4,9.9,1975
410,fortis,10.9,8.9,1975
411,fortis,10.4,9.4,1975
